iter	Passed	Remaining
455	963	1148
456	964	1145
457	967	1144
458	969	1142
459	970	1139
460	972	1136
461	974	1134
462	975	1131
463	978	1130
464	981	1129
465	983	1126
466	984	1123
467	986	1121
468	988	1118
469	989	1115
470	990	1113
471	992	1110
472	994	1107
473	998	1108
474	999	1105
475	1001	1102
476	1002	1099
477	1004	1096
478	1007	1095
479	1009	1093
480	1013	1093
481	1014	1090
482	1016	1087
483	1018	1085
484	1020	1083
485	1021	1080
486	1022	1077
487	1028	1078
488	1029	1075
489	1031	1073
490	1032	1070
491	1034	1068
492	1037	1067
493	1038	1064
494	1042	1063
495	1043	1060
496	1046	1058
497	1047	1056
498	1049	1053
499	1050	1050
500	1052	1047
501	1057	1049
502	1059	1046
503	1060	1043
504	1061	1040
505	1063	1038
506	1065	1035
507	1066	1032
508	1069	1031
509	1071	1029
510	1072	1026
511	1073	1023
512	1075	1020
513	1076	1017
514	1077	1014
515	1078	1011
516	1082	1011
517	1084	1008
518	1086	1006
519	1087	1003
520	1088	1000
521	1089	997
522	1090	995
523	1093	993
524	1099	994
525	1101	992
526	1102	989
527	1104	986
528	1105	984
529	1106	981
530	1107	978
531	1108	975
532	1113	975
533	1115	973
534	1116	970
535	1118	968
536	1119	965
537	1120	962
538	1121	959
539	1122	956
540	1123	953
541	1127	952
542	1128	950
543	1130	947
544	1131	944
545	1132	942
546	1134	939
547	1135	936
548	1136	933
549	1137	930
550	1139	928
551	1140	925
552	1142	923
553	1143	920
554	1145	918
555	1146	915
556	1147	912
557	1148	909
558	1149	907
559	1150	904
560	1151	901
561	1154	899
562	1156	897
563	1157	894
564	1158	892
565	1160	889
566	1161	886
567	1162	883
568	1163	881
569	1164	878
570	1165	875
571	1166	873
572	1170	872
573	1171	869
574	1172	866
575	1174	864
576	1176	862
577	1177	859
578	1179	857
579	1180	854
580	1181	852
581	1185	851
582	1186	848
583	1187	845
584	1188	843
585	1189	840
586	1191	838
587	1193	836
588	1194	833
589	1195	830
590	1196	828
591	1198	826
592	1199	823
593	1201	821
594	1202	818
595	1203	815
596	1204	813
597	1206	810
598	1207	808
599	1208	805
600	1212	805
601	1214	802
602	1216	800
603	1217	798
604	1218	795
605	1219	792
606	1220	790
607	1221	787
608	1222	785
609	1223	782
610	1225	780
611	1227	778
612	1229	776
613	1230	773
614	1231	771
615	1233	768
616	1234	766
617	1235	763
618	1236	760
619	1237	758
620	1238	755
621	1240	753
622	1242	751
623	1243	749
624	1244	746
625	1246	744
626	1248	742
627	1250	740
628	1251	738
629	1252	735
630	1254	733
631	1255	731
632	1258	729
633	1259	727
634	1261	724
635	1262	722
636	1263	720
637	1264	717
638	1270	717
639	1272	715
640	1273	713
641	1276	711
642	1277	709
643	1278	707
644	1285	707
645	1288	705
646	1291	704
647	1294	703
648	1296	701
649	1299	699
650	1303	698
651	1306	697
652	1310	696
653	1311	693
654	1312	691
655	1314	689
656	1316	687
657	1317	684
658	1318	682
659	1319	679
660	1320	677
661	1324	676
662	1327	674
663	1329	672
664	1330	670
665	1331	667
666	1333	665
667	1334	663
668	1335	660
669	1339	659
670	1341	657
671	1343	655
672	1344	653
673	1345	650
674	1346	648
675	1347	645
676	1348	643
677	1349	640
678	1350	638
679	1354	637
680	1356	635
681	1358	633
682	1359	630
683	1360	628
684	1362	626
685	1363	624
686	1364	621
687	1365	619
688	1370	618
689	1371	616
690	1373	614
691	1374	611
692	1375	609
693	1376	607
694	1378	604
695	1379	602
696	1380	600
697	1383	598
698	1384	596
699	1386	594
700	1387	591
701	1389	589
702	1390	587
703	1391	585
704	1392	582
705	1393	580
706	1395	578
707	1398	576
708	1400	574
709	1401	572
710	1403	570
711	1404	568
712	1405	565
713	1407	563
714	1410	562
715	1415	561
716	1416	559
717	1418	556
718	1419	554
719	1420	552
720	1421	549
721	1422	547
722	1423	545
723	1424	543
724	1428	541
725	1429	539
726	1430	537
727	1431	534
728	1432	532
729	1433	530
730	1435	528
731	1436	525
732	1437	523
733	1438	521
734	1439	518
735	1441	517
736	1443	515
737	1444	512
738	1445	510
739	1446	508
740	1447	505
741	1448	503
742	1450	501
743	1451	499
744	1452	497
745	1453	494
746	1455	492
747	1457	490
748	1458	488
749	1459	486
750	1460	484
751	1461	482
752	1462	479
753	1464	477
754	1465	475
755	1466	473
756	1467	471
757	1470	469
758	1472	467
759	1473	465
760	1474	463
761	1475	460
762	1476	458
763	1478	456
764	1479	454
765	1480	452
766	1481	450
767	1482	447
768	1483	445
769	1486	443
770	1487	441
771	1488	439
772	1489	437
773	1490	435
774	1491	433
775	1492	430
776	1494	428
777	1495	426
778	1496	424
779	1497	422
780	1499	420
781	1500	418
782	1502	416
783	1503	414
784	1504	412
785	1505	409
786	1506	407
787	1507	405
788	1508	403
789	1509	401
790	1511	399
791	1512	397
792	1515	395
793	1516	393
794	1517	391
795	1518	389
796	1520	387
797	1521	385
798	1522	382
799	1523	380
800	1524	378
801	1525	376
802	1526	374
803	1530	373
804	1531	370
805	1532	368
806	1534	366
807	1536	365
808	1537	363
809	1539	361
810	1541	359
811	1547	358
812	1548	356
813	1550	354
814	1552	352
815	1553	350
816	1555	348
817	1556	346
818	1560	344
819	1563	343
820	1565	341
821	1567	339
822	1568	337
823	1570	335
824	1571	333
825	1575	331
826	1576	329
827	1577	327
828	1579	325
829	1581	323
830	1582	321
831	1583	319
832	1584	317
833	1585	315
834	1590	314
835	1591	312
836	1593	310
837	1594	308
838	1596	306
839	1597	304
840	1600	302
841	1607	301
842	1608	299
843	1609	297
844	1611	295
845	1613	293
846	1614	291
847	1616	289
848	1620	288
849	1621	286
850	1624	284
851	1626	282
852	1628	280
853	1629	278
854	1630	276
855	1635	275
856	1637	273
857	1640	271
858	1641	269
859	1642	267
860	1644	265
861	1645	263
862	1649	261
863	1650	259
864	1651	257
865	1652	255
866	1653	253
867	1655	251
868	1656	249
869	1657	247
870	1658	245
871	1659	243
872	1660	241
873	1664	239
874	1665	237
875	1666	235
876	1667	233
877	1668	231
878	1670	229
879	1671	227
880	1672	225
881	1673	223
882	1674	221
883	1675	219
884	1677	218
885	1679	216
886	1680	214
887	1682	212
888	1683	210
889	1685	208
890	1686	206
891	1688	204
892	1689	202
893	1691	200
894	1693	198
895	1694	196
896	1695	194
897	1697	192
898	1698	190
899	1699	188
900	1700	186
901	1702	184
902	1703	182
903	1705	181
904	1706	179
905	1707	177
906	1708	175
907	1709	173
908	1710	171
909	1712	169
910	1713	167
911	1714	165
912	1715	163
913	1716	161
914	1717	159
915	1720	157
916	1721	155
917	1723	153
918	1724	152
919	1725	150
920	1726	148
921	1727	146
922	1729	144
923	1730	142
924	1731	140
925	1732	138
926	1734	136
927	1735	134
928	1736	132
929	1737	130
930	1738	128
931	1739	126
932	1740	125
933	1742	123
934	1743	121
935	1744	119
